3J2imN7dYqzYeDUEZdO08g,Chinese Dragon,380 Chelsea St,Boston,3.0,86,1,632,852,0.42588,42.3793504,-71.0281007
3OLeRXDdWoclrkE9_58NcQ,Best Liquors,1088 Dorchester Ave,Dorchester,3.5,10,1,40,52,0.43478,42.313529,-71.05682
3PtR_aOxDn8MTZun6SP76w,Jane's Salad & Buffet,274 Franklin St,Boston,3.5,41,0,20,28,0.41667,42.3569568,-71.0534652
3Q_3bl5OK2XXXed6qehULw,Juicy Spot Cafe,16 Tyler St,Boston,3.5,132,1,36,28,0.5625,42.3508365,-71.0605975
3SFk3-fboi1U9PFEDs1o3Q,Cafeteria Boston,279A Newbury St,Boston,3.5,943,0,236,1120,0.17404,42.3492655411,-71.0844025148
3WvvXipZXAMgF00Xz6VNxw,Pizza Pie-er,182 Massachusetts Ave,Boston,3.5,91,0,184,668,0.21596,42.3458009,-71.0866845
3XmUUDb9Juay7aCF4H-zug,Dunkin',1138 Washington St,Boston,4.0,13,1,92,208,0.30667,42.3437321,-71.0658319
3YsJCNhI4Vw7OtweFN622w,China Station,532 Washington St,Boston,4.0,62,1,296,676,0.30453,42.2928908,-71.0717093
3_u0CYYreKXGxrz0c_IZYA,Fitworx-West Roxbury,1665 Vfw Pkwy,West Roxbury,2.5,18,0,12,0,1.0,42.264506,-71.169129
3cM2WYjUuiQqi5Uryc9Dvw,Green Street Supermarket,186 Green St,Jamaica Plain,3.5,11,1,280,612,0.3139,42.3101743,-71.1056093
3cp5UNPdoAe-saPE7wtYUQ,Blanchards - Allston,103 Harvard Ave,Allston,3.5,102,1,72,132,0.35294,42.352673,-71.132188
3eaxpJ3fi5YSMakuirfrZQ,Dunkin',430 Stuart St,Boston,2.5,17,0,204,412,0.33117,42.3486028,-71.0750434
3kUWjyRGWc_RUGDw9X3qUw,Eagle's Deli,1918 Beacon St,Brighton,3.5,426,1,56,64,0.46667,42.3365673,-71.1491452
3mSl9zt1cclABpxfsbrLuA,Walgreens,585 Washington St,Dorchester Center,2.5,5,1,116,392,0.22835,42.2911192,-71.0718095
3nmqhc5X3V9kIybow99zVw,Marshalls,126 Brookline Ave,Boston,3.0,26,1,32,20,0.61538,42.3454753344,-71.1000659983
3qC2B1YVyLtjPUl0BAksvw,El Embajador,3371 Washington St,Jamaica Plain,4.0,37,1,392,900,0.30341,42.3091641,-71.1052281
3sjpDMhSpzape7vGG0Czww,Viga Italian Eatery & Caterer,291 Devonshire St,Boston,4.0,97,1,348,572,0.37826,42.354191,-71.057978
3u0AxpA7sZ3RTyZss0o_Bg,Sweet Kingdom,145 Harvard Ave,Allston,3.0,150,1,148,200,0.42529,42.3520385,-71.1321139
3uYpf47Lx411R38uvJJagA,Rite Aid,1329 Hyde Park Ave,Hyde Park,1.5,7,0,64,44,0.59259,42.253515,-71.125618
